"name","address","cuisine","cost","url","address_geo","lon","lat","neighborhood","political","snippet","ckkr","date","popup"
"Davelle","102 Suffolk Street, Lower East Side","Japanese","$$","https://www.nytimes.com/2018/06/07/dining/davelle-review-lower-east-side.html","102 Suffolk Street, Lower East Side, New York, NY",-73.9860676,40.7185385,"Lower Manhattan","Manhattan","At his tiny Lower East Side spot, a coffee shop by day and izakaya by night, Yudai Kanayama presents uni and other dishes as a common man’s pleasure.","Hungry City",2018-06-07,"<a href=""https://www.nytimes.com/2018/06/07/dining/davelle-review-lower-east-side.html"" target=""_blank"">Davelle</a><br><strong>Cuisine: </strong>Japanese<br><strong>Cost: </strong>$$<br><strong>Review Date: </strong>2018-06-07<br><strong>Address: </strong>102 Suffolk Street, Lower East Side<br>At his tiny Lower East Side spot, a coffee shop by day and izakaya by night, Yudai Kanayama presents uni and other dishes as a common man’s pleasure."
"Lahi","51-24 Van Loon Street, Elmhurst","Philippine","$","https://www.nytimes.com/2018/05/31/dining/lahi-elmhurst-queens-review.html","51-24 Van Loon Street, Elmhurst, New York, NY",-73.879388,40.7373622,"Flushing","Queens","The menu at this spot in Elmhurst, Queens, doesn’t stray far from favorites, but it does have occasional quirks, like a recasting of sisig as “tacos.”","Hungry City",2018-05-31,"<a href=""https://www.nytimes.com/2018/05/31/dining/lahi-elmhurst-queens-review.html"" target=""_blank"">Lahi</a><br><strong>Cuisine: </strong>Philippine<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2018-05-31<br><strong>Address: </strong>51-24 Van Loon Street, Elmhurst<br>The menu at this spot in Elmhurst, Queens, doesn’t stray far from favorites, but it does have occasional quirks, like a recasting of sisig as “tacos.”"
"Rangoon Spoon","2369 86th Street, Gravesend","Southeast Asian","$","https://www.nytimes.com/2018/05/24/dining/rangoon-spoon-gravesend-review.html","2369 86th Street, Gravesend, New York, NY",-73.9896488,40.5997489,"Gravesend","Brooklyn","The flavors of Myanmar, a play of light and dark, earth and brine, sourness and heat, are on display at the chef Amy Tun’s understated spot in Gravesend, Brooklyn.","Hungry City",2018-05-24,"<a href=""https://www.nytimes.com/2018/05/24/dining/rangoon-spoon-gravesend-review.html"" target=""_blank"">Rangoon Spoon</a><br><strong>Cuisine: </strong>Southeast Asian<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2018-05-24<br><strong>Address: </strong>2369 86th Street, Gravesend<br>The flavors of Myanmar, a play of light and dark, earth and brine, sourness and heat, are on display at the chef Amy Tun’s understated spot in Gravesend, Brooklyn."
"Em","1702 86th Street, Bensonhurst","Vietnamese","$","https://www.nytimes.com/2018/05/17/dining/em-vietnamese-bensonhurst-review.html","1702 86th Street, Bensonhurst, New York, NY",-74.004932,40.6083485,"Bath Beach","Brooklyn","Among the pho and banh mi at this Bensonhurst, Brooklyn, restaurant is hu tieu, the first dish that the chef Ly Nguyen made for the man who would become her husband.","Hungry City",2018-05-17,"<a href=""https://www.nytimes.com/2018/05/17/dining/em-vietnamese-bensonhurst-review.html"" target=""_blank"">Em</a><br><strong>Cuisine: </strong>Vietnamese<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2018-05-17<br><strong>Address: </strong>1702 86th Street, Bensonhurst<br>Among the pho and banh mi at this Bensonhurst, Brooklyn, restaurant is hu tieu, the first dish that the chef Ly Nguyen made for the man who would become her husband."
"Lamoon","8140 Broadway, Elmhurst","Thai","$","https://www.nytimes.com/2018/05/10/dining/lamoon-review-elmhurst.html","8140 Broadway, Elmhurst, New York, NY",-73.8830972,40.7428197,"Elmhurst","Queens","At Lamoon, Arada Moonroj draws from memories of an upbringing in northern Thailand to create thoughtful, detailed fare.","Hungry City",2018-05-10,"<a href=""https://www.nytimes.com/2018/05/10/dining/lamoon-review-elmhurst.html"" target=""_blank"">Lamoon</a><br><strong>Cuisine: </strong>Thai<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2018-05-10<br><strong>Address: </strong>8140 Broadway, Elmhurst<br>At Lamoon, Arada Moonroj draws from memories of an upbringing in northern Thailand to create thoughtful, detailed fare."
"Bab Marrakech","7317 Fifth Avenue, Bay Ridge","Moroccan","$","https://www.nytimes.com/2018/05/03/dining/bab-marrakech-review-brooklyn.html","7317 Fifth Avenue, Bay Ridge, New York, NY",-74.0219219,40.6304933,"Bay Ridge","Brooklyn","Bab Marrakech, a Bay Ridge restaurant owned by natives of Morocco, offers delicate couscous and expansive plates of meat.","Hungry City",2018-05-03,"<a href=""https://www.nytimes.com/2018/05/03/dining/bab-marrakech-review-brooklyn.html"" target=""_blank"">Bab Marrakech</a><br><strong>Cuisine: </strong>Moroccan<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2018-05-03<br><strong>Address: </strong>7317 Fifth Avenue, Bay Ridge<br>Bab Marrakech, a Bay Ridge restaurant owned by natives of Morocco, offers delicate couscous and expansive plates of meat."
"Luda’s Dumplings","3371 Shore Parkway, Sheepshead Bay","Russian","$","https://www.nytimes.com/2018/04/26/dining/ludas-dumplings-review-brooklyn.html","3371 Shore Parkway, Sheepshead Bay, New York, NY",-73.9509499,40.5850024,"Sheepshead Bay","Brooklyn","At Luda’s Dumplings in Sheepshead Bay, Brooklyn, the pelmeni are made with thoughtfully chosen ingredients and cooked to order, then glossed with drops of clarified butter.","Hungry City",2018-04-26,"<a href=""https://www.nytimes.com/2018/04/26/dining/ludas-dumplings-review-brooklyn.html"" target=""_blank"">Luda’s Dumplings</a><br><strong>Cuisine: </strong>Russian<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2018-04-26<br><strong>Address: </strong>3371 Shore Parkway, Sheepshead Bay<br>At Luda’s Dumplings in Sheepshead Bay, Brooklyn, the pelmeni are made with thoughtfully chosen ingredients and cooked to order, then glossed with drops of clarified butter."
"Ho Foods","110 East Seventh Street, East Village","Taiwanese","$$","https://www.nytimes.com/2018/04/19/dining/ho-foods-review-east-village.html","110 East Seventh Street, East Village, New York, NY",-73.9847829,40.7263329,"East Village","Manhattan","The tiny storefront lists a single entree on its menu — Taiwanese beef noodle soup — a taste of home for some, and a ticket elsewhere for others.","Hungry City",2018-04-19,"<a href=""https://www.nytimes.com/2018/04/19/dining/ho-foods-review-east-village.html"" target=""_blank"">Ho Foods</a><br><strong>Cuisine: </strong>Taiwanese<br><strong>Cost: </strong>$$<br><strong>Review Date: </strong>2018-04-19<br><strong>Address: </strong>110 East Seventh Street, East Village<br>The tiny storefront lists a single entree on its menu — Taiwanese beef noodle soup — a taste of home for some, and a ticket elsewhere for others."
"Ejen","274 36th Street, Sunset Park","Korean","$","https://www.nytimes.com/2018/03/22/dining/ejen-review-korean.html","274 36th Street, Sunset Park, New York, NY",-74.0071696,40.6559486,"Greenwood","Brooklyn","Sue and Don Lee had never worked in a restaurant, but, when their daughter asked them to move across the country and open a Korean food stand, they said yes.","Hungry City",2018-03-22,"<a href=""https://www.nytimes.com/2018/03/22/dining/ejen-review-korean.html"" target=""_blank"">Ejen</a><br><strong>Cuisine: </strong>Korean<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2018-03-22<br><strong>Address: </strong>274 36th Street, Sunset Park<br>Sue and Don Lee had never worked in a restaurant, but, when their daughter asked them to move across the country and open a Korean food stand, they said yes."
"Cienega Las Tlayudas de Oaxaca","10432 Corona Avenue, Corona","Mexican","$","https://www.nytimes.com/2018/03/15/dining/cienega-review-corona.html","10432 Corona Avenue, Corona, New York, NY",-73.857664,40.743701,"Flushing","Queens","The house specialty at this Corona, Queens, restaurant is tlayudas, built on giant tortillas imported from Mexico, where the corn grows starchier and stronger.","Hungry City",2018-03-15,"<a href=""https://www.nytimes.com/2018/03/15/dining/cienega-review-corona.html"" target=""_blank"">Cienega Las Tlayudas de Oaxaca</a><br><strong>Cuisine: </strong>Mexican<br><strong>Cost: </strong>$<br><strong>Review Date: </strong>2018-03-15<br><strong>Address: </strong>10432 Corona Avenue, Corona<br>The house specialty at this Corona, Queens, restaurant is tlayudas, built on giant tortillas imported from Mexico, where the corn grows starchier and stronger."
